Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
497,12441,Open Systems and Information Dynamics,journal,"15731324, 12301612","0,606",Q2,35,16,77,446,186,73,1.09,27.88,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,"1992-1995, 1997-2020",Computational Mechanics (Q1); Fluid Flow and Transfer Processes (Q2); Information Systems (Q2); Mathematical Physics (Q2); Mechanics of Materials (Q2); Physical and Theoretical Chemistry (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)
498,7000153240,Computational Intelligence and Neuroscience,journal,"16875273, 16875265","0,605",Q1,52,163,411,6846,1843,398,4.4,42,United States,Northern America,Hindawi Publishing Corporation,2007-2020,Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q3)
499,21100200804,ACM Transactions on Management Information Systems,journal,"21586578, 2158656X","0,603",Q1,29,26,50,1495,243,48,6.03,57.5,United States,Northern America,Association for Computing Machinery (ACM),2010-2020,Computer Science (miscellaneous) (Q1); Management Information Systems (Q2)
500,144698,International Journal of Simulation Modelling,journal,17264529,"0,603",Q2,24,56,181,1503,539,180,3.39,26.84,Austria,Western Europe,Vienna University of Technology,2005-2020,Computer Science Applications (Q2); Modeling and Simulation (Q2)
501,21100979314,ACM Transactions on Human-Robot Interaction,journal,25739522,"0,602",Q2,8,23,29,1723,105,25,3.62,74.91,United States,Northern America,Association for Computing Machinery (ACM),2018-2020,Artificial Intelligence (Q2); Human-Computer Interaction (Q2)
502,21100996100,International Journal of Population Data Science,journal,23994908,"0,602",Q2,7,48,83,1810,132,81,1.68,37.71,United Kingdom,Western Europe,Swansea University,2017-2020,Demography (Q1); Health Informatics (Q2); Information Systems (Q2); Information Systems and Management (Q2)
503,26941,Theory and Decision,journal,"15737187, 00405833","0,602",Q2,37,62,162,2059,203,159,1.21,33.21,Netherlands,Western Europe,Springer Netherlands,1970-2020,"Economics, Econometrics and Finance (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Applied Psychology (Q2); Arts and Humanities (miscellaneous) (Q2); Computer Science Applications (Q2); Decision Sciences (miscellaneous) (Q2); Developmental and Educational Psychology (Q2)"
504,18800156711,Advances in Mathematics of Communications,journal,"19305346, 19305338","0,601",Q2,26,48,155,1110,166,153,1.04,23.13,United States,Northern America,American Institute of Mathematical Sciences,2008-2020,Algebra and Number Theory (Q2); Applied Mathematics (Q2); Computer Networks and Communications (Q2); Discrete Mathematics and Combinatorics (Q2)
505,29114,Engineering Optimization,journal,"0305215X, 10290273","0,601",Q2,64,209,371,7702,1148,370,3.2,36.85,United Kingdom,Western Europe,Taylor and Francis Ltd.,1974-2020,Applied Mathematics (Q2); Computer Science Applications (Q2); Control and Optimization (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2)
506,24595,Chemometrics and Intelligent Laboratory Systems,journal,1697439,"0,600",Q2,126,209,522,9022,1977,517,3.59,43.17,Netherlands,Western Europe,Elsevier,1986-2020,Analytical Chemistry (Q2); Computer Science Applications (Q2); Process Chemistry and Technology (Q2); Software (Q2); Spectroscopy (Q2)
507,4700152843,ACM Transactions on Sensor Networks,journal,15504859,"0,598",Q2,67,44,118,2352,447,117,3.52,53.45,United States,Northern America,Association for Computing Machinery (ACM),2005-2020,Computer Networks and Communications (Q2)
508,12398,Journal of Systems Architecture,journal,13837621,"0,598",Q1,51,111,272,4816,1137,262,4.97,43.39,Netherlands,Western Europe,Elsevier,1996-2020,Hardware and Architecture (Q1); Software (Q2)
509,12318,Optical Materials,journal,9253467,"0,598",Q1,103,910,2215,37215,6608,2212,3.06,40.9,Netherlands,Western Europe,Elsevier,1992-2020,"Computer Science (miscellaneous) (Q1); Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Spectroscopy (Q2)"
510,18121,ACM Transactions on Software Engineering and Methodology,journal,"15577392, 1049331X","0,597",Q2,78,32,66,2257,297,58,4.94,70.53,United States,Northern America,Association for Computing Machinery (ACM),1992-2020,Software (Q2)
511,23629,AI Magazine,journal,7384602,"0,597",Q2,79,38,138,970,584,129,2.18,25.53,United States,Northern America,AI Access Foundation,"1984-1986, 1989-2020",Artificial Intelligence (Q2)
512,10900153330,Enterprise Information Systems,journal,"17517583, 17517575","0,596",Q2,47,136,218,6471,863,207,4.6,47.58,United Kingdom,Western Europe,Taylor and Francis Ltd.,2007-2020,Computer Science Applications (Q2); Information Systems and Management (Q2)
513,21100924250,Digital Health,journal,20552076,"0,595",Q2,8,74,66,3138,199,66,3.02,42.41,United States,Northern America,SAGE Publications Inc.,"2015, 2018-2020",Computer Science Applications (Q2); Health Informatics (Q2); Health Policy (Q2); Health Information Management (Q3)
514,23051,ACM Transactions on Computational Logic,journal,"15293785, 1557945X","0,593",Q1,52,22,101,876,180,101,1.69,39.82,United States,Northern America,Association for Computing Machinery (ACM),2000-2020,Computer Science (miscellaneous) (Q1); Computational Mathematics (Q2); Logic (Q2); Theoretical Computer Science (Q2)
515,25061,Displays,journal,1419382,"0,593",Q1,57,19,121,674,331,118,2.34,35.47,Netherlands,Western Europe,Elsevier,1979-2020,Hardware and Architecture (Q1); Electrical and Electronic Engineering (Q2); Human-Computer Interaction (Q2)
516,21100383744,Journal of Cloud Computing,journal,2192113X,"0,593",Q2,29,67,76,3039,441,75,5.71,45.36,United States,Northern America,Springer Science + Business Media,2012-2020,Computer Networks and Communications (Q2); Software (Q2)
517,17979,Medical and Biological Engineering and Computing,journal,"17410444, 01400118","0,593",Q2,98,217,560,9580,1761,558,3.05,44.15,Germany,Western Europe,Springer Verlag,1977-2020,Biomedical Engineering (Q2); Computer Science Applications (Q2)
518,21100469450,"Communication, Culture and Critique",journal,"17539129, 17539137","0,592",Q2,10,31,73,1184,104,72,1,38.19,United States,Northern America,John Wiley and Sons Inc.,2015-2019,Communication (Q1); Cultural Studies (Q1); Computer Science Applications (Q2)
519,12419,International Journal of Systems Science,journal,"00207721, 14645319","0,591",Q2,69,245,783,9753,2065,783,2.31,39.81,United Kingdom,Western Europe,Taylor and Francis Ltd.,1970-2020,Computer Science Applications (Q2); Control and Systems Engineering (Q2); Theoretical Computer Science (Q2)
520,19700201455,Sustainable Computing: Informatics and Systems,journal,22105379,"0,591",Q1,27,78,178,3347,766,169,4.5,42.91,United States,Northern America,Elsevier USA,2011-2020,Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q2)
521,25019,Human-Computer Interaction,journal,"15327051, 07370024","0,590",Q2,69,28,54,2209,225,42,3.54,78.89,United States,Northern America,Taylor and Francis Ltd.,"1985-1987, 1989-2020",Applied Psychology (Q2); Human-Computer Interaction (Q2)
522,19400158593,Journal of Ambient Intelligence and Humanized Computing,journal,"18685145, 18685137","0,589",Q1,41,1121,938,41371,4441,720,4.81,36.91,Germany,Western Europe,Springer Verlag,2010-2020,Computer Science (miscellaneous) (Q1)
523,21100781705,Journal of Machine Engineering,journal,"18957595, 23918071","0,588",Q2,7,42,110,944,127,110,1.31,22.48,Poland,Eastern Europe,Editorial Institution of Wroclaw Board of Scientific,2016-2020,Computer Science Applications (Q2); Industrial and Manufacturing Engineering (Q2)
524,21100374601,IEEE Access,journal,21693536,"0,587",Q1,127,18036,24267,771081,116691,24200,4.48,42.75,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2020,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2)
525,29581,Journal of Computational Biology,journal,"15578666, 10665277","0,585",Q2,95,147,352,4868,503,340,1.52,33.12,United States,Northern America,Mary Ann Liebert Inc.,1994-2020,Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Modeling and Simulation (Q2); Genetics (Q3); Molecular Biology (Q3)
526,24831,Quantum Information Processing,journal,15700755,"0,583",Q2,61,429,1032,17711,3250,1030,3.02,41.28,United States,Northern America,Springer New York,2004-2020,"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Modeling and Simulation (Q2); Signal Processing (Q2); Theoretical Computer Science (Q2); Statistical and Nonlinear Physics (Q3)"
527,21100200653,Information Polity,journal,"18758754, 15701255","0,582",Q2,35,30,68,1547,199,61,2.78,51.57,Netherlands,Western Europe,IOS Press,2002-2020,"Sociology and Political Science (Q1); Communication (Q2); Geography, Planning and Development (Q2); Information Systems (Q2); Public Administration (Q2)"
528,24304,Computer Supported Cooperative Work,journal,"09259724, 15737551","0,581",Q1,64,28,97,2072,304,90,2.9,74,Netherlands,Western Europe,Springer Netherlands,1992-2020,Computer Science (miscellaneous) (Q1)
529,19700201403,Global Journal of Engineering Education,journal,13283154,"0,580",Q1,12,31,118,542,160,111,1.56,17.48,Australia,Pacific Region,World Institute for Engineering and Technology Education (WIETE),2010-2020,Computer Science (miscellaneous) (Q1); Education (Q2)
530,21100448516,Journal of Information Technology Education: Innovations in Practice,journal,"2165316X, 21653151","0,579",Q1,9,7,33,329,73,33,1.95,47,United States,Northern America,Informing Science Institute,2015-2020,Computer Science (miscellaneous) (Q1); Education (Q2)
531,25023,Computer Graphics Forum,journal,"01677055, 14678659","0,578",Q2,120,261,813,14134,3301,808,3.71,54.15,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1982-2020,Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2)
532,18895,Journal of Advanced Transportation,journal,"01976729, 20423195","0,577",Q2,46,438,667,17331,2071,648,2.93,39.57,Egypt,Africa/Middle East,Hindawi Limited,1979-2020,Automotive Engineering (Q1); Computer Science Applications (Q2); Economics and Econometrics (Q2); Mechanical Engineering (Q2); Strategy and Management (Q2)
533,19300156904,Communications of the Association for Information Systems,journal,15293181,"0,576",Q2,48,68,197,5369,457,189,1.79,78.96,United States,Northern America,Association for Information Systems,"2006, 2009-2020",Information Systems (Q2)
534,21100894112,Journal of Digital Learning in Teacher Education,journal,"21532974, 23327383","0,576",Q2,20,31,69,1032,127,45,1.66,33.29,United Kingdom,Western Europe,Taylor and Francis Ltd.,2010-2020,Computer Science Applications (Q2); Education (Q2)
535,24756,Match,journal,3406253,"0,576",Q2,62,57,234,1534,560,234,2.41,26.91,Serbia,Eastern Europe,"University of Kragujevac, Faculty of Science",1996-2020,Applied Mathematics (Q2); Chemistry (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2)
536,21100201056,Electronic Journal of e-Learning,journal,14794403,"0,574",Q2,24,42,68,1928,205,63,3.36,45.9,United Kingdom,Western Europe,Academic Publishing Limited,2011-2020,Computer Science Applications (Q2); Education (Q2); E-learning (Q2)
537,15464,IEEE Transactions on Nanotechnology,journal,1536125X,"0,574",Q2,82,122,489,3933,1342,481,2.8,32.24,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2002-2020,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Nanoscience and Nanotechnology (Q2)
538,145295,4OR,journal,"16142411, 16194500","0,573",Q2,41,41,62,1524,110,53,1.4,37.17,Germany,Western Europe,Springer Verlag,2003-2020,Computational Theory and Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2)
539,12370,Journal of Computer and System Sciences,journal,"10902724, 00220000","0,573",Q2,99,46,252,1626,568,245,1.87,35.35,United States,Northern America,Academic Press Inc.,1967-2021,Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Networks and Communications (Q2); Theoretical Computer Science (Q2)
540,25549,Image and Vision Computing,journal,2628856,"0,570",Q2,132,123,282,5745,1464,276,4.48,46.71,United Kingdom,Western Europe,Elsevier Ltd.,1983-2020,Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)
541,19600166316,Journal of Internet Services and Applications,journal,"18674828, 18690238","0,570",Q2,24,10,66,500,339,63,5.96,50,United Kingdom,Western Europe,Springer London,2010-2020,Computer Networks and Communications (Q2); Computer Science Applications (Q2)
542,21100889858,Indonesian Journal of Science and Technology,journal,"25278045, 25281410","0,567",Q1,11,38,62,961,150,62,2.61,25.29,Indonesia,Asiatic Region,Universitas Pendidikan Indonesia,2016-2020,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q2); Geotechnical Engineering and Engineering Geology (Q2); Space and Planetary Science (Q3)
543,21100897951,Journal of Interactive Media in Education,journal,1365893X,"0,567",Q2,6,20,33,694,67,28,2.03,34.7,United Kingdom,Western Europe,Ubiquity Press,2018-2020,Communication (Q2); Computer Networks and Communications (Q2); Education (Q2)
544,21100356018,Big Data Research,journal,22145796,"0,565",Q2,25,11,76,547,324,69,4.06,49.73,United States,Northern America,Elsevier Inc.,2014-2020,Computer Science Applications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2)
545,19700183008,TripleC,journal,1726670X,"0,564",Q2,21,49,129,2387,177,126,1.31,48.71,Austria,Western Europe,Unified Theory of Information Research Group,2010-2020,Communication (Q2); Computer Science Applications (Q2)
546,145669,Electronic Commerce Research,journal,13895753,"0,563",Q2,39,88,133,4924,502,127,3.44,55.95,Netherlands,Western Europe,Kluwer Academic Publishers,2005-2020,"Economics, Econometrics and Finance (miscellaneous) (Q1); Human-Computer Interaction (Q2)"
547,5300152722,Smart Structures and Systems,journal,"17381584, 17381991","0,563",Q2,47,120,366,6134,1105,360,3.18,51.12,South Korea,Asiatic Region,Techno Press,2006-2020,Computer Science Applications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)
548,21100266502,Journal of Cryptographic Engineering,journal,"21908516, 21908508","0,561",Q2,26,38,78,1504,270,73,3.53,39.58,United States,Northern America,Springer Science + Business Media,2011-2020,Computer Networks and Communications (Q2); Software (Q2)
549,21100332424,Journal of Spatial Information Science,journal,1948660X,"0,560",Q2,19,29,31,1068,63,27,2.41,36.83,United States,Northern America,The National Center for Geographic Information and Analysis (NCGIA),2010-2020,"Computers in Earth Sciences (Q2); Geography, Planning and Development (Q2); Information Systems (Q2)"
550,4700151918,"ACM Transactions on Multimedia Computing, Communications and Applications",journal,"15516865, 15516857","0,558",Q1,49,91,252,4847,1130,240,3.98,53.26,United States,Northern America,Association for Computing Machinery (ACM),2005-2020,Hardware and Architecture (Q1); Computer Networks and Communications (Q2)
